player_name,week,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr
J.Bates,14,0,0,0,0,0,0,0,0,19,28,151,0,15.1,34.1
J.Bobo,14,0,0,0,0,0,1,3,1,19,25,196,2,37.9,56.900000000000006
J.Brissett,2,18,23,224,3,0,3,19,0,0,0,0,0,22.86,22.86
J.Brooks,3,0,0,0,0,0,0,0,0,6,6,64,0,6.3999999999999995,12.4
J.Browning,9,171,243,1936,12,7,27,127,3,1,1,-7,0,143.44,144.44
J.Brownlee,4,0,0,0,0,0,0,0,0,5,8,56,1,11.6,16.6
J.Burrow,10,244,365,2309,15,6,31,88,0,0,0,0,0,147.16,147.16
J.Cabinda,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
J.Chase,16,1,1,-7,0,0,3,-6,0,100,145,1216,7,162.72,262.72
J.Conner,13,0,0,0,0,0,208,1040,7,27,33,165,2,174.5,201.5
J.Cook,17,0,0,0,0,0,237,1122,2,44,54,445,4,188.7,232.7
J.Corbin,1,0,0,0,0,0,1,1,0,3,3,12,0,1.3,4.3
J.Crowder,7,0,0,0,0,0,0,0,0,16,20,159,1,21.9,37.9
J.Deguara,4,0,0,0,0,0,0,0,0,8,8,65,0,6.5,14.5
J.Dobbins,1,0,0,0,0,0,8,22,1,2,3,15,0,9.7,11.7
J.Dobbs,13,262,417,2464,13,10,77,421,6,0,0,0,0,202.66,202.66
J.Dotson,17,0,0,0,0,0,0,0,0,49,83,518,4,75.8,124.8
J.Downs,17,0,0,0,0,0,0,0,0,68,98,771,2,89.1,157.1
J.Driskel,1,13,26,166,2,2,7,33,0,0,0,0,0,13.94,13.94
J.Ferguson,17,0,0,0,0,0,0,0,0,71,102,761,5,106.1,177.1
J.Fields,13,227,370,2562,16,9,124,657,4,0,0,0,0,230.17999999999998,230.17999999999998
J.FitzPatrick,1,0,0,0,0,0,0,0,0,1,1,12,0,1.2,2.2
J.Flacco,5,123,204,1616,13,8,9,2,0,0,0,0,0,100.84,100.84
J.Ford,17,0,0,0,0,0,204,813,4,44,63,319,5,169.20000000000002,213.20000000000002
J.Funk,1,0,0,0,0,0,2,10,0,1,1,12,0,2.2,3.2
J.Garoppolo,7,110,169,1205,7,9,20,39,0,0,0,0,0,64.1,64.1
J.Gibbs,15,0,0,0,0,0,182,945,10,52,71,316,1,190.1,242.1
J.Goff,17,407,605,4575,30,12,32,21,2,0,0,0,0,289.1,289.1
J.Graham,5,0,0,0,0,0,0,0,0,6,7,39,4,27.9,33.9
J.Guyton,7,0,0,0,0,0,0,0,0,10,21,89,1,14.9,24.9
J.Hall,3,13,20,168,0,1,6,14,0,0,0,0,0,2.12,2.12
J.Hasty,1,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0
J.Hekker,2,1,1,7,0,0,1,-11,0,0,0,0,0,-2.8200000000000003,-2.8200000000000003
J.Herbert,13,297,456,3134,20,7,52,228,3,1,1,10,0,233.16,234.16
J.Hill,22,0,0,0,0,0,84,387,3,34,48,254,1,84.1,118.1
J.Horsted,1,0,0,0,0,0,0,0,0,1,1,4,0,0.4,1.4
J.Hurts,17,352,538,3858,23,15,157,605,15,0,0,0,0,356.82,356.82
J.Hyatt,13,0,0,0,0,0,0,0,0,23,40,373,0,37.3,60.3
J.Jacobs,13,0,0,0,0,0,233,805,6,37,54,296,0,144.1,181.1
J.Jefferson,10,0,1,0,0,0,1,-12,0,68,100,1074,5,136.2,204.2
J.Jennings,12,0,0,0,0,0,0,0,0,19,33,265,1,32.5,51.5
J.Jeudy,16,0,0,0,0,0,0,0,0,54,87,758,2,87.8,141.8
J.Johnson,14,0,0,0,0,0,0,0,0,38,61,380,4,62.0,100.0
J.Jones,8,0,0,0,0,0,0,0,0,11,19,74,3,25.4,36.4
J.Kelley,17,0,0,0,0,0,107,405,2,8,12,32,0,53.7,61.7
J.Love,17,372,579,4159,32,11,50,247,4,0,0,0,0,319.06,319.06
J.Mason,9,0,0,0,0,0,40,206,3,3,4,31,0,41.7,44.7
J.McKinnon,12,1,1,4,1,0,21,60,1,25,32,192,4,59.36,84.36
J.McLaughlin,17,0,0,0,0,0,76,410,1,31,36,160,2,75.0,106.0
J.Metchie,14,0,0,0,0,0,1,4,0,16,30,158,0,16.2,32.2
