player,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
Ian Thomas,TE,CAR,19,2.823529412,11,561
Connor Heyward,TE,PIT,19,2.964705882,9,331.5
Quintin Morris,TE,BUF,17,2.052941176,12,556
MyCole Pruitt,TE,PIT,16,1.835294118,9,539
Brenton Strange,TE,JAC,16,2.005882353,12,827
Ben Sims,TE,GB,16,1.9,10,467
C.J. Uzomah,TE,PHI,15,1.552941176,5,364
Austin Hooper,TE,NE,13,2.276470588,14,406
Stone Smartt,TE,LAC,13,1.988235294,5,654
Armani Rogers,TE,PHI,13,1.782352941,5,348
Will Dissly,TE,LAC,13,2.223529412,5,416
Payne Durham,TE,TB,12,1.858823529,11,512
John Bates,TE,WAS,12,2.147058824,14,622
Pharaoh Brown,TE,SEA,12,1.894117647,10,411.5
James Mitchell,TE,DET,11,1.788235294,5,448.5
Robert Tonyan,TE,MIN,11,1.764705882,6,735
Foster Moreau,TE,NO,11,1.717647059,12,468
Brayden Willis,TE,SF,11,1.652941176,9,832
Cameron Latu,TE,SF,11,1.652941176,9,497.5
Ross Dwelley,TE,ATL,11,1.570588235,12,492
Tanner McLachlan,TE,CIN,11,1.847058824,12,692
Jared Wiley,TE,KC,11,1.876470588,6,448
Cade Stover,TE,HOU,11,1.705882353,14,320.5
Jeremy Ruckert,TE,NYJ,10,1.670588235,12,482
Josiah Deguara,TE,JAC,10,1.617647059,12,586
Jaheim Bell,TE,NE,10,1.476470588,14,525
Lucas Krull,TE,DEN,10,1.494117647,14,501
Devin Culp,TE,TB,10,1.670588235,11,700
Albert Okwuegbunam,TE,PHI,10,1.629411765,5,466
Peyton Hendershot,TE,DAL,10,1.658823529,7,465
Hunter Long,TE,LAR,10,1.417647059,6,615
Grant Calcaterra,TE,PHI,10,1.688235294,5,504.5
Will Mallory,TE,IND,10,1.623529412,14,393
Drew Sample,TE,CIN,10,1.705882353,12,553
Eric Saubert,TE,SF,10,1.523529412,9,732
Travis Vokolek,TE,ARI,10,1.6,11,514
Tanner Hudson,TE,CIN,10,1.788235294,12,374
John FitzPatrick,TE,ATL,10,1.635294118,12,493
Tip Reiman,TE,ARI,10,1.6,11,527
Cole Fotheringham,TE,LV,10,1.529411765,10,650
Younghoe Koo,K,ATL,171,10.05882353,12,143
Harrison Butker,K,KC,151,8.882352941,6,120.8
Justin Tucker,K,BAL,147,8.647058824,14,110.4
Jason Myers,K,SEA,147,8.647058824,10,213.4
Jake Elliott,K,PHI,146,8.588235294,5,145
Brandon Aubrey,K,DAL,145,8.529411765,7,115
