player,src_id,id,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
Isiah Pacheco,2966551,15749,RB,KC,187,254.2,6,21.4
James Cook,2975698,15715,RB,BUF,186,249.8,12,33.6
Travis Etienne,2809206,15253,RB,JAC,186,256.2,12,18.2
De'Von Achane,3171161,,RB,MIA,186,247.9,6,25
Jahmyr Gibbs,3162723,,RB,DET,181,269.9,5,11.6
Rachaad White,3169147,15721,RB,TB,178,255.6,11,33.4
Kenneth Walker III,3121372,15711,RB,SEA,170,219,10,43.2
James Conner,2071585,13146,RB,ARI,167,225.7,11,60.4
Raheem Mostert,2174957,12447,RB,MIA,162,208.2,6,76.2
Zamir White,2963641,15714,RB,LV,156,213.8,10,64.8
Alvin Kamara,2082721,13132,RB,NO,156,251,12,39.6
David Montgomery,2261252,14071,RB,DET,155,200.6,5,64.2
Najee Harris,2741200,15254,RB,PIT,149,198.3,9,75.8
Brian Robinson Jr.,2741207,15716,RB,WAS,141,193,14,97.4
Aaron Jones,2071937,13319,RB,MIN,140,213.8,6,59.8
Tony Pollard,2184011,14085,RB,TEN,138,186.2,5,82
Nick Chubb,2131579,13610,RB,CLE,137,191.8,10,90.6
Zack Moss,2240516,14798,RB,CIN,137,194.2,12,89
D'Andre Swift,2871710,14797,RB,CHI,136,201.1,7,64.6
Rhamondre Stevenson,3125832,15259,RB,NE,129,202.4,14,65.2
Carson Steele,26698435,,RB,KC,127,186.9,6,709
J.K. Dobbins,2804420,14800,RB,LAC,124,177.9,5,133.6
Gus Edwards,2925410,13850,RB,LAC,121,160.5,5,112.2
Austin Ekeler,2820090,13404,RB,WAS,121,187.8,14,89.8
Chase Brown,2965160,,RB,CIN,119,176.2,12,120.8
Javonte Williams,2961719,15256,RB,DEN,119,182.4,14,97.2
Rico Dowdle,2252798,14823,RB,DAL,116,157,7,159.6
Devin Singletary,2241251,14080,RB,NYG,115,166.7,11,98.6
Jaylen Warren,3126535,15742,RB,PIT,113,190.1,9,87.6
D'Onta Foreman,2139847,13134,RB,CLE,111,148,10,242.5
Trey Benson,3176915,,RB,ARI,107,147.8,11,121.8
Blake Corum,3169252,,RB,LAR,106,147.7,6,123.2
Jonathon Brooks,26730706,,RB,CAR,102,150.4,11,84.6
Jerome Ford,2966543,15713,RB,CLE,102,157.4,10,124.6
Tyjae Spears,3122588,,RB,TEN,96,160.2,5,103.2
Tyler Allgeier,2975590,15712,RB,ATL,91,128,12,160.8
MarShawn Lloyd,3162514,,RB,GB,86,120.8,10,163.6
Tyrone Tracy Jr.,2963637,,RB,NYG,85,129.1,11,203.6
Ty Chandler,2867472,15723,RB,MIN,82,126.5,6,161.8
Antonio Gibson,2960976,14852,RB,NE,82,157.2,14,170.4
Ezekiel Elliott,2060769,12625,RB,DAL,82,131.8,7,108.4
Jaylen Wright,26698774,,RB,MIA,81,123.3,6,170.8
Chuba Hubbard,2865693,15261,RB,CAR,79,126.4,11,150.8
Clyde Edwards-Helaire,2804554,14803,RB,KC,77,129.4,6,218
Jaleel McLaughlin,26725939,,RB,DEN,77,125,14,174.4
Kendre Miller,3162256,,RB,NO,76,113,12,178.4
Braelon Allen,26726580,,RB,NYJ,75,110.7,12,215
Bucky Irving,26693770,,RB,TB,75,125.1,11,207
Khalil Herbert,2253041,15271,RB,CHI,73,117.8,7,199
Keaton Mitchell,3164710,,RB,BAL,72,102.8,14,225.8
Ray Davis,3123108,,RB,BUF,71,116.1,12,215.5
Kenneth Gainwell,2968948,15255,RB,PHI,71,126.2,5,236.3
Elijah Mitchell,2819876,15263,RB,SF,65,92.9,9,190.2
Zach Charbonnet,3123810,,RB,SEA,64,119.5,10,132.2
Samaje Perine,2131148,13133,RB,DEN,58,119,14,280
Roschon Johnson,3121395,,RB,CHI,58,111.3,7,216.3
Justice Hill,2250388,14086,RB,BAL,57,97.3,14,254.3
Miles Sanders,2251305,14079,RB,CAR,56,111.4,11,252
Alexander Mattison,2257933,14223,RB,LV,54,94.3,10,225.8
Jamaal Williams,2001287,13139,RB,NO,48,82.4,12,253.3
Audric Estime,26713577,,RB,DEN,46,71.7,14,229.5
AJ Dillon,2867083,14805,RB,GB,43,78.3,10,235.3
Andrew Beck,2131774,14319,FB,HOU,43,86.9,14,463
Chase Edmonds,2137507,13726,RB,TB,42,79.3,11,462
